byte_range	bit_range	length	field	hex	binary	decoded
0-3	0-31	4	version	01000000	00000001 00000000 00000000 00000000	1
4-4	32-39	1	marker	00	00000000	SegWit marker
5-5	40-47	1	flag	01	00000001	witness present
6-6	48-55	1	input_count	01	00000001	1
7-38	56-311	32	input[0].previous_txid	0000000000000000000000000000000000000000000000000000000000000000	00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000	
39-42	312-343	4	input[0].previous_vout	ffffffff	11111111 11111111 11111111 11111111	
43-43	344-351	1	input[0].scriptSig_length	17	00010111	23
44-66	352-535	23	input[0].scriptSig	03a7370200040776616a0c0dc0446a0000000000000000	00000011 10100111 00110111 00000010 00000000 00000100 00000111 01110110 01100001 01101010 00001100 00001101 11000000 01000100 01101010 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000	03a7370200040776616a0c0dc0446a0000000000000000
67-70	536-567	4	input[0].sequence	ffffffff	11111111 11111111 11111111 11111111	
71-71	568-575	1	output_count	02	00000010	2
72-79	576-639	8	output[0].value	01fa052a01000000	00000001 11111010 00000101 00101010 00000001 00000000 00000000 00000000	5000002049 sat
80-80	640-647	1	output[0].scriptPubKey_length	16	00010110	22
81-102	648-823	22	output[0].scriptPubKey	001485e9d16efcd61814f84fd2c8e996768ba43fc31c	00000000 00010100 10000101 11101001 11010001 01101110 11111100 11010110 00011000 00010100 11111000 01001111 11010010 11001000 11101001 10010110 01110110 10001011 10100100 00111111 11000011 00011100	P2WPKH: OP_0 PUSH20 85e9d16efcd61814f84fd2c8e996768ba43fc31c
103-110	824-887	8	output[1].value	0000000000000000	00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000	0 sat
111-111	888-895	1	output[1].scriptPubKey_length	26	00100110	38
112-149	896-1199	38	output[1].scriptPubKey	6a24aa21a9edb36e61fb7af98bde2bca631f60d4499d42dbd77f27779a2b1f3201041e5d0246	01101010 00100100 10101010 00100001 10101001 11101101 10110011 01101110 01100001 11111011 01111010 11111001 10001011 11011110 00101011 11001010 01100011 00011111 01100000 11010100 01001001 10011101 01000010 11011011 11010111 01111111 00100111 01110111 10011010 00101011 00011111 00110010 00000001 00000100 00011110 01011101 00000010 01000110	OP_RETURN 24aa21a9edb36e61fb7af98bde2bca631f60d4499d42dbd77f27779a2b1f3201041e5d0246
150-150	1200-1207	1	witness[0].item_count	01	00000001	1
151-151	1208-1215	1	witness[0].item[0].length	20	00100000	32
152-183	1216-1471	32	witness[0].item[0]	0000000000000000000000000000000000000000000000000000000000000000	00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000	32 bytes; possible signature; sighash=0x00
184-187	1472-1503	4	locktime	00000000	00000000 00000000 00000000 00000000	0
