byte_range	bit_range	length	field	hex	binary	decoded
0-3	0-31	4	version	02000000	00000010 00000000 00000000 00000000	2
4-4	32-39	1	marker	00	00000000	SegWit marker
5-5	40-47	1	flag	01	00000001	witness present
6-6	48-55	1	input_count	01	00000001	1
7-38	56-311	32	input[0].previous_txid	5dc40928f033773c9154fa95a4ac619e294dfab4776fe5602020d356345f8866	01011101 11000100 00001001 00101000 11110000 00110011 01110111 00111100 10010001 01010100 11111010 10010101 10100100 10101100 01100001 10011110 00101001 01001101 11111010 10110100 01110111 01101111 11100101 01100000 00100000 00100000 11010011 01010110 00110100 01011111 10001000 01100110	
39-42	312-343	4	input[0].previous_vout	00000000	00000000 00000000 00000000 00000000	
43-43	344-351	1	input[0].scriptSig_length	00	00000000	0
44-43	352-351	0	input[0].scriptSig			empty (native SegWit unlock is in witness)
44-47	352-383	4	input[0].sequence	fdffffff	11111101 11111111 11111111 11111111	
48-48	384-391	1	output_count	02	00000010	2
49-56	392-455	8	output[0].value	bcee040000000000	10111100 11101110 00000100 00000000 00000000 00000000 00000000 00000000	323260 sat
57-57	456-463	1	output[0].scriptPubKey_length	16	00010110	22
58-79	464-639	22	output[0].scriptPubKey	00144db668b024f3b4e14fbb8de2a043520b505ceea7	00000000 00010100 01001101 10110110 01101000 10110000 00100100 11110011 10110100 11100001 01001111 10111011 10001101 11100010 10100000 01000011 01010010 00001011 01010000 01011100 11101110 10100111	P2WPKH: OP_0 PUSH20 4db668b024f3b4e14fbb8de2a043520b505ceea7
80-87	640-703	8	output[1].value	1027000000000000	00010000 00100111 00000000 00000000 00000000 00000000 00000000 00000000	10000 sat
88-88	704-711	1	output[1].scriptPubKey_length	16	00010110	22
89-110	712-887	22	output[1].scriptPubKey	0014be78ccbbd06737973a759b99cf5e3314c65c6c90	00000000 00010100 10111110 01111000 11001100 10111011 11010000 01100111 00110111 10010111 00111010 01110101 10011011 10011001 11001111 01011110 00110011 00010100 11000110 01011100 01101100 10010000	P2WPKH: OP_0 PUSH20 be78ccbbd06737973a759b99cf5e3314c65c6c90
111-111	888-895	1	witness[0].item_count	02	00000010	2
112-112	896-903	1	witness[0].item[0].length	47	01000111	71
113-183	904-1471	71	witness[0].item[0]	304402203cbce9f9c5aae61064ed0e2f95ffc43195b3ddc146b932601e4bd8dfe3770c4f022044db035e45b0c48e6ad7c4c83d590225850f0190c8d0411ef4b7333dc7a1460401	00110000 01000100 00000010 00100000 00111100 10111100 11101001 11111001 11000101 10101010 11100110 00010000 01100100 11101101 00001110 00101111 10010101 11111111 11000100 00110001 10010101 10110011 11011101 11000001 01000110 10111001 00110010 01100000 00011110 01001011 11011000 11011111 11100011 01110111 00001100 01001111 00000010 00100000 01000100 11011011 00000011 01011110 01000101 10110000 11000100 10001110 01101010 11010111 11000100 11001000 00111101 01011001 00000010 00100101 10000101 00001111 00000001 10010000 11001000 11010000 01000001 00011110 11110100 10110111 00110011 00111101 11000111 10100001 01000110 00000100 00000001	71 bytes; possible signature; sighash=0x01
184-184	1472-1479	1	witness[0].item[1].length	21	00100001	33
185-217	1480-1743	33	witness[0].item[1]	027f0c5b9943ae75d893b22133fc9c6051c36ff93fcac4b804dea15767fa9c1d8d	00000010 01111111 00001100 01011011 10011001 01000011 10101110 01110101 11011000 10010011 10110010 00100001 00110011 11111100 10011100 01100000 01010001 11000011 01101111 11111001 00111111 11001010 11000100 10111000 00000100 11011110 10100001 01010111 01100111 11111010 10011100 00011101 10001101	33-byte compressed public key; prefix=0x02
218-221	1744-1775	4	locktime	00000000	00000000 00000000 00000000 00000000	0
